ID,urgency,category,complaint
156,Not Urgent,Sosial dan Kesejahteraan,NAMA.AGUS.YTH. LARANGAN PARKIR.DI KOMPLEK.DUTA MAS.JL.TB.ANGKE.JELAMBAR.JAKBAR.APAKAH MURNI LAPORAN.WARGA.PADA LURAH. ATAU ADA UPAYA.PENGEMBOSAN PEMILIH GUBURNUR.AHOK DAN JAROT.DAN MAKSUD LAINNYA.? TRIMS.!
157,Not Urgent,Transportasi,BECAK SDH TERLALU BANYAK.DI JELAMBAR & TELUK GONG DAN GLODOK/PANCORAN.TRIMS..! 
158,Not Urgent,Pemukiman dan Perumahan,"Yth bapak2 ,BELUM ADA TINDAKLANJUT PENYELESAIAN mengenai laporan sms sy tgl 20,21,23,28 pebr & 6,10 maret dan pd jumat 10/3 jam 5 sore, br tahap peninjauan&foto  ke rmh dari kelurahan dan belum ada tindaklanjutnya smp saat ini. Jl.Mangga Besar 4F no 28 Jak Bar, Rt10 Rw02 Kel.Tamansari.Pengaduan: tembok tetangga no.26  tanpa izin menempel dan talang airnya buat tembok basah sdh 2 kali korslet listrik dan dlm rmh banjir, sy sdh bicara dgn tetangga tp tdk ditanggapi.Sy berharap masalah ini dpt segera diselesaikan, agar tdk terjadi kebakaran, krn saat hujan sy sangat khawatir.Mohon Pak segera bantuannya, agar talang airnya dipindah, agar tdk korslet listrik & tdk banjir dlm rmh, krn rmh sy dkt dgn padat penduduk di 4k yg pd thn2013 kebakaran.Perseteruan antar tetangga ini yg ke3.Terima kasih (nb:perihal ketuaRT yg TDK PERNAH bisa ditemui sejak jadi ketua rt, sdh sy smpkan kpd Bp.Lurah)              "
159,Not Urgent,Pelayanan Publik,Slmt pagi pak ahok tlg domg pak sy sdh mengajukan permohomam uug tgl 8 maret 2017 dikecamatan kebo jeruk namum sampai saat imi tgl 20 maret belum juga diproses oleh petugas ptsp.trims
160,Not Urgent,Sosial dan Kesejahteraan,"Siang Pak Ahok, saya salah satu warga pada putaran pertama tidak terdaftar pada DPT. Pada tgl 9 maret saya akhirnya coba daftar langsung ke kelurahan meruya utara. Namun, sampai hari ini nama saya tidk muncul di DPT. Mohon arahan nya...Terima kasih"
161,Urgent,Keamanan dan Ketertiban,"Pak Ahok, selamat siang. Saya mau lapor ada pungli di kec kali deres, kel tegal alur, Jakarta Barat. Saya sedang renovasi bangunan naik plafon dan buat canopy. Didatangin orang kelurahan minta duit. Nama Jonser di hp 081295966427 dan Lupus di 082113483042. Enaknya bagaimana pak? Mohon saran nya. Thanks."
162,Urgent,Lingkungan,Slmt siang pa ahok mau tanya kalo fasilitaa jalan di komplek perumahan apa pengelolanya dilakukan sepenuhnya oleh rt/rw setempat ato tetap hrs pemda. Coba cek perumahan di green garden jkt setiap rt bs tinggikan jln semaunya bg warga yg tdk mampu byr maka rmhnya jauh lbh rendah dr jalan shg bs kelelep banjir. Tq
163,Urgent,Keamanan dan Ketertiban,Mat sore Pak ADa SPanduk Besar berbau Sara di jl Satria 4 sebelah kiri mksh 
164,Not Urgent,Keamanan dan Ketertiban,Kantor kelurahan semanan x deres sdh tertera parkir geratis. Tetap aja ada yg minta parkir tlg ditertibkan pak
165,Not Urgent,Pelayanan Publik,"Sore pak.. mau melaporkan perihal legalisir siup dan tdp di PTSP jakarta barat.. tgl 3 maret msukin dokumen dan lengkap, 1 minggu selesai tertera di tanda bukti penerimaannya kami datang kesana tapi katanya belum selesai disuru kembali lagi 1 minggu depannya kami datang kembali masi blom juga.. sampai dgn hri ini tgl 21 maret blom selesai.. lalu Pihak PTSP nya sudah tidak berani menjanjikan berapa lama lagi.."
166,Not Urgent,Pelayanan Publik,"Pak Gubernur, saya urus akte kematian ibunda di kecamatan kebon jeruk, sudah selesai, kami diminta fotokopi dan kembalikan 2 kopi ke kantor kecamatan sbg arsip mereka. Masalahnya kami harus fotokopi di luar karena kantor kecamatan tidak punya mesin fotokopi, begitu alasannya. Mohon periksa pak. Terima kasih. Christina."
167,Not Urgent,Lingkungan,"Selamat siang, Bpk Ahok & Djarot. Kami warga jl. Lingkungan 3 gg. Lingga 5 Rt 004/Rw 003 kel. Tegal Alur kec. Kalideres. Memberitahukan kpd Bpk bahwa ditempat Kami sampah banyak sekali dan banyak anak2 suka nongkrong di gg. Lingga 5,  nongkrong sampai pagi, sangat menggangu lingkungan Kami. Kami sdh melaporkannya kpd P-Rt, tetapi tdk ada respon. Trims"
168,Not Urgent,Pelayanan Publik,Malam. Saya mau info di daerah menceng tegal alur warga dipersulit untuk nyoblos di pilkada. Sudah daftar ke kelurahan dan dapat surat coblos. Tapi waktu lapor ke rt kaum chinese dimarahin rt dengan bilang lu minta ahok aja karna itu bangsa lu.  Karna gw gak dukung ahok. Tlng di tindak lanjuti rt tersebut. Karna diwilayah menceng banyak yang tidak bisa nyoblos waktu pilkada lalu. Trima kasih
169,Urgent,Keamanan dan Ketertiban,"Yth. Gubernur DkI Jakarta , Bpk Basuki Tjahaja Purnama. Nama. Pak Aenal, Alamat. Jln. Tomang Tinggi Gang xv rt 015/07, Kel: Tomang, Kec: Grogol Petamburan, Jak-Bar.Pak knpa pasar malam yg d rw 06 msh ada saja bahkan skrg sdh di kasih ijin sm kelurahan Tomang sebulan 2 kali karna posisi kami sangat dekat dgn pasar malam. Kami warga rw 07 sangat2 terganggu karna bikin macet jalan. Mestinya kelurahan tomang peka dgn keadaan ini dan melarangnya karna berada d jalur hijau dan hanya menguntung sekelompok  orang dan bnyk merugikan  orang banyak. Pak tlg hentikan pasar malam itu makasih"
170,Not Urgent,Pekerjaan dan Ketenagakerjaan,[1/2]Pak ahok ..ada 2 orang pekerja upk wilayah tambora 4bulan lama nya tidak masuk 2 orang jga yg siap menggantikan namun orang admin belum jga respek hingga
171,Not Urgent,Pelayanan Publik,"Selamat siang pak Ahok,sy mau mengadu di putaran ke2 ini nama anak sy knp bs tdk ada datanya di RT,pdhl wktu daftar ulang di kelurahan dgn membawa ktp kk,org yg mendata blg sdh masuk namanya(sdh terdftar) tapi skrg wktunya sdh dekat bgni pk RT blg namanya tdk ada jd sy balik lagi ke kelurahan dgn membawa ktp kk,smp di kelurahan yg mendata tdk ada di tmpt.knp repot sekali hrs bolak balik ke kelurahan?Sy tinggal di cengkareng barat  Rt07/03."
172,Not Urgent,Sosial dan Kesejahteraan,"Shallom Pak Ahok, nama sy Tjoe Lian Risamanto yg tinggal di Jl. Pekojan No. 35A kel. Pekojan kec. Tambora. Sy mau minta tolong karena sudah tidak ada orang tua dan tinggal di pinggir kali pekojan. Dulu orang tua sy thiap dri tahun 1957 sampai bapak sy almarhum smpai 1986 smpai sekarang. Dr ipeda sampai pbb sy yg byar smpai sekarang. Orang tua sy sudah meninggal dan sy mau diusir begitu saja. Sy mohon bantuannya Pak Ahok karena sy tidak tahu harus bgmn lgi. Terima kasih banyak Pak Ahok."
173,Not Urgent,Pelayanan Publik,Pak gubernur dilingkungan saya rt 06 rw 04 kelurahan kota bambu utr setiap bulan warga dipinta uang retribusi sampah.tolong ditindak 
174,Urgent,Keamanan dan Ketertiban,"Pak ahok. Di depan Resto paregu kebun jeruk ada spaduk provokatif. Hari ini terpasang lagi, pdhl sdh pernah di copot bbrp hari lalu pas penertiban spanduk2 ty"
175,Urgent,Lingkungan,"Malam Pak Ahok, saya Rudy berdomisili di Cengkareng Barat ingin melaporkan jika selokan di sepanjang Jl. Kamal Raya antara SMAN 33 & kampus BSI cengkareng sdh penuh dgn sampah dan akan banjir setiap hujan. Saya pernah melapirkan ke Rt & Rw tp kata mereka itu wewenang dari Kecamatan & kelurahan cengkareng barat. Mohon tindak lanjutnya pak krn dampaknya merendam perkampungan di belakangnya. Padahal ini selokan di jalan raya pak. Thanks Pak Ahok."
176,Not Urgent,Pelayanan Publik,"Slamat  sore pak Ahok,saya mau sampaikan  bahwaTagihan bulanan kamtib & pembinaan lingkungan selalu di ditagih oleh rt  010 sebesar rp15.000 dan ditagih juga oleh rw o11 sebesar rp 20.000. Kelurahan tegalalur ,kalideres- jakbar. Tolong dicek apakah seperti itu ada 2 kali penagihannya rt & rw (  rt sendiri dan rw sendiri ) ? Tolong dong Pak Ahok , bulan ini (mei 2017 )masih tetap ditagih oleh rw 011.Trims Pak Ahok."
177,Urgent,Keamanan dan Ketertiban,"Selamat sore pak ahok , saya ingin mengadukan bangunan liar yg telah berdiri bertahun2 di daerah sekitar rumah saya . Jalan yang seharusnya lebar malah dijadikan warteg2 pinggiran dan jg bangunan liar yg dibangun sendiri oleh warga yg tinggal disini . Alamatnya di jln. Pekapuran 2 dalam , kelurahan tanah sereal , kecamatan tambora , jakarta barat . Saya mohon tolong dibereskan pemukiman ini pak ahok . Terima kasih"
178,Not Urgent,Infrastruktur,"Malam pak Ahok, di kelurahan meruya selatan, ada tanah di jalan menara 4, peruntukan nya utk taman kota, tp terbengkalai, malah dijadikan tempat berjualan tanaman...sy sdh lapor di qlue dari 2015...sampai skrg tdk ada perubahan"
179,Urgent,Keamanan dan Ketertiban,"Pak Basuki, saya warga Taman Meruya Ilir blok J8/23. Sangat mengeluhkan kondisi depan pintu pagar depan rumah saya yang selalu menjadi tempat parkir pelanggan warung2 di sekitar rumah saya yang kemungkinan besar illegal. Saya sudah melaporkan ke keamanan dan sampai level RT tetapi kelihatannya mereka juga tidak berani/tidak ada respons dari mereka. Mohon bantuannya pak, karena hal ini sudah berjalan selama bertahun2. Terima kasih."
180,Not Urgent,Pelayanan Publik,"Misi pak saya warga DKI Jakarta yang mendapat pengecewaan tentang pelayanan terhadap kelurahan Kapuk Cengkareng, saya mengalami pelayanan untuk revisi agama dalam Kartu Keluarga, selang 1 minggu disuruh balik ternyata tetap ada kesalahan dan dengan gampangnya berbicara seakan tidak ada kesalahan dari pihak kelurahan, saya pekerja merasa membuang waktu cukup lama, mohon tegurannya pak ahok tindak tegas dengan pelayanan seperti ini mengecewakan warga DKI Jakarta"
181,Not Urgent,Pelayanan Publik,"Selamat pagi pak, sy novi warga kel.pegadungan. mav pak sy mau tanya, apa kelurahan tidak dapat mengeluarkan surat keterangan sudah tidak tinggal dialamat yg ditmpati sblmnya kl blm 1 smp 3 thn?? Sy membutuhkan surat itu untuk proses pengajuan gugatan perceraian krn suami sy smp dgn hr ini tdk diketahui keberadaannya.. Mohon informasinya ya pak krn smp hr ini sdh sejak bln jan sy ajukan ke kelurahan tetapi slalu ditolak.. Trima ksh pak"
182,Urgent,Keamanan dan Ketertiban,"Siang Pak djarot mohon bntuannya untuk menertibkn pasar malam yg menggangu lalu lintas mrk berdagang di pigir jln tiap hari senin sore jam 5, di jln pelopor blok O4 cengkareng tegal alur trna ksh"
183,Not Urgent,Sosial dan Kesejahteraan,"Saya mau kasih informasi    atau  himbauan    tolong  ada ketua RT   di  jl kebun jeruk 4  kelurahan  maphar kecamatan sawah besar,  itu ketua RT nya  tidak bijaksana  dlm  laporan warga nya  nenyangkut  soal taruh kantong sampah di depan rmh org    Rt  nya mala mendukung yg naruh kantong sampah itu   , tolong di tindak .trmksih"
184,Not Urgent,Keamanan dan Ketertiban,"Pagi pak ahok, saya tinggal di taman dutamas,tubagus angke,jakarta barat. Di jalan wijaya 4, setiap sore jalanan dpn rmh hampir selalu ada anak2 kampung yg berombongan bawa2 tongkat dsb sampai kmrn ada rombongan anak kampung tsb memecahkan botol kaca didpn rmh dan byk sekali puntung rokok. Tanggapan dr RT dan hansip setempat juga tdk pernah digubris. Tolong dicek karena semakin meresahkan kalau setiap sore anak2 kampung tsb mulai dtg rame2 lewat dpn rmh. Terima kasih. Bertha."
185,Not Urgent,Sosial dan Kesejahteraan,selamat malam bos bos tolongin sy untuk memecat RT 005 RW 010 kapuk pulo kelurahan kapuk kecamatan cengkareng jakbar mata duitan
186,Not Urgent,Keamanan dan Ketertiban,"Selamat pagi Pak Gubernur .... Mohon dibantu .... Mohon ditertibkan anak anak tongkrongan di depan toko Fadil JL.Prima Dalam Rt.06/05 Tegal Alur Kalideres Jakbar, ini lokasi pemukiman sehingga sangat mengganggu kami.... Mereka anak anak luar bukan dari warga  setempat. Mereka nyanyi nyanyi, ngomong dan ketawa keras keras.  Sangat mengganggu kami ... Mohon ditertibkan .... Sudah beberapa kali  saya sampaikan keamanan RW dan kelurahan tapi tidak ada tindakan ... Terima kasih .... ini jam segini 02:20 masih berlangsung..."
187,Not Urgent,Keamanan dan Ketertiban,"Yth.Plt Gubernur DkI jakarta. Bpk.H. Djarot Saeful Hidayat. Pak sy Johan. Alamat.jl TomangTinggi Raya Rw 06, kel. Tomang, Kec. Grogol Petamburan, Jakarta Barat. Di belakang RS. waras. Pak knpa pasar malam di tmp sy ada lg pada hal wkt Gubernur Bpk. Basuki sdh tdk ada. Apakah ada aparat  yang bermain di belakang layar atau gimana?  kami selaku warga disini sangat mohon sekali untuk mengentikan pasar malam ini karna akan masuk bulan suci Ramadhan agar tdk menganggu umat muslim beribadah. Tolong sms saya agar di sampaikan ke Plt Gubernur DkI agar kebohongan dan zaliman tidak terus berlanjut Terimakasih."
188,Not Urgent,Lingkungan,"Pak tolong di tindak lanjutin pembakaran sampah yg tiap hari di lakukan api sangat besar , menggangu pernapasan mohon di tindak lanjutin pak gubernur . Lokasi nya di lahan kosong depan appartement centro city,daan mogot-jakarta barat.terimakasih"
189,Not Urgent,Kesehatan,Pasukan orange palmerah mengendor pak gubernur..mohon bantuanya...disuntik lagi...got palmerah utara...tks. Pendukung !
190,Urgent,Pelayanan Publik,"Bersama ini saya selaku warga Rt 010 RW 014 kelurahan kapuk kecamatan cengkareng jakarta barat,ingin adukan perihal pengangkatan sampah, yang dilakukan secara tebang pilih, bila warga tdk mampu bayar iuran bulanan maka sampah warga yg tdk mampu tidak diangkat, mohon tanggapan bapak/ibu perihal tersebut .sebab keadaan warga juga untuk bayar iuran bulanan terbatas akibat ekonomi dimana iuran per bulan warga diminta rp 125 per bulan dan itu tak jelas kemana anggaran tanpa beri laporan ke warga tiap2 bulan, demikianlah laporan saya untuk tolong ditindak,terima kasih:)"
191,Not Urgent,Pekerjaan dan Ketenagakerjaan,kelurahan pekojan kecamatan tambora setiap bln anak2 PPSU gajianya gak prnah tepat tlong pak dtlndak lanjuti stapnya gak bs krja 
192,Not Urgent,Pemukiman dan Perumahan,"Selamat siang pak Ahok,kami warga perum kosambi baru- jakbar, memohon kebapak untuk ditindak lanjuti tentang tempat pemotongan ayam krn hingga hari ini masih beroperasi,seharusnya tdk boleh dekat perumahan,krn kami warga kosambi sd pusing smp mau jual rmh aja tdk laku, semoga bpk menanggapi keluhan kami, terima kasih"
193,Not Urgent,Pelayanan Publik,Pak saya mau bikin sertifikat tanah .mau minta tandatangan lurah aja susah sudah 1 bulan lebih gak d proses.gimana ya pak. Dari zaenudin kali deres
194,Not Urgent,Keamanan dan Ketertiban,"Pak Basuki yang terhormat. Saya minta tolong di area kebon Jeruk jakarta barat seringkali diadakan layar tancap sampai pagi dengan suara menggelegar. Dan ini sangat mengganggu, karena banyak warga yang tidak bisa tidur. Warga tidak berani menegur pelaksana layar tancap karena masih kerabat dari RT/RW setempat, layar tancap ini pun tidak ada meminta persetujuan warga, posisi TKP di depan gedung VOC kebon Jeruk. Mohon ditindak segera Pak. Saya hanya seorang perempuan, sudah berusaha minta dengan baik-baik tapi tidak ditanggapi. Dari warga RT. 04/ RW. 09."
195,Not Urgent,Keamanan dan Ketertiban,"Aslmkm pak wagub yth: ditmpt,,pak kami dr warga joglo jakbar,`kami ingin mengadukn bahwa kami sangat merasa terganggu& hawatir skali terjadiny hal2 yg tdk diinginkn disebbkn oleh ledakan petasan pak,,kami sangt brhrp dr tim bapak mengadakn razia pedagng petasan pak`demi keamanan & ketenangn dlm beribadah dibulan ramadan ini,, "
196,Not Urgent,Keamanan dan Ketertiban,"Selamat pagi Pak Gubernur .... Mohon dibantu .... Mohon ditertibkan anak anak tongkrongan di depan toko Fadil JL.Prima Dalam Rt.06/05 Tegal Alur Kalideres Jakbar, lokasi pemukiman sangat mengganggu kami.... Mereka anak anak luar bukan penduduk setempat. Mereka gitaran, nyanyi, ngomong dan ketawa keras keras.  Sangat mengganggu kami ... Mohon ditertibkan .... Sudah beberapa kali  saya sampaikan keamanan RW dan kelurahan tapi tidak ada tindakan ... Terima kasih .... ini jam segini 01:00 masih berlangsung..."
197,Not Urgent,Keamanan dan Ketertiban,Pak ahok .kali jodoh 2 .bangun balik rmh pelacuran  ya .tolong ditindak .dari masyarakat 
198,Not Urgent,Lingkungan,Selamat pagi pak Basuki cahya purnama (ahok ) saya warga semanan ingin melaporkan soal kebersihan dan kesehatan.... Di wilayah kel. Semanan tepatnya di kp. Gaga Rt. 001/03 kel. Semana kec. Kaliderea jakbar di sini ada pemotongan ayam yg cukup besar dan lokasihnya di pemukiman penduduk  ....dan dekat dengan jalan umum... Kebersihan bulu ayam dan kotoran ayam yg berserakan ke pemukiman warga tolong bisa di tinjau terima kasih karna peyangkut kesehatan warga ..dan tidak ada tindakan dari pihak pemerintah setempat ...tolong di tangkapi karna sudah sangat bahaya sekali untuk kesehatan warga ..
199,Not Urgent,Pelayanan Publik,"Selamat siang Pak Ahok, saya tadi sedang meminta ttd utk PM 1 di ketua RW 02 kelurahan tanjung duren utara kecamatan grogol petamburan dengan nama ketua RW nya Suradi WS...setelah saya meminta ttd tangan, beliau meminta biaya administrasi  dan dimasukkan ke dalam kotak memang tidak seberapa tp menurut saya itu termasuk dalam kategori pungli...tolong ditindak tegas Pak, TKS"
200,Not Urgent,Lingkungan,"Slmt malam, didaerah kami RT.05 RW.04 Kel.Semanan Kec.Kalideres JakBar, ada kegiatan peternakan/kandang sapi milik Ketua RW setempat, ditengah2 pemukiman warga, yg limbah kotoranya mencemari lingkungan dan menimbulkan bau menyengat yg sangat menggangu sampai kedalam rumah kami dan warga sekitarnya. Kami khawatir terhadap dampak lingkungan dan kesehatan yg ditimbulkan.Untuk itu kami mohon utk pihak terkait menangani hal ini.Terima kasih. (Delsi Satria)"
201,Not Urgent,Keamanan dan Ketertiban,"YTH.Bpk. Gubernur DkI Jakarta, Bpk Basuki Tjahaja Purnama, sy Bu Johan, Alamat: Tomang Tinggi Raya  Rt 004/06. Kel: Tomang, kec: Grogol Petamburan, Jakarta Barat. Pak knpa pasar malam d tmp sy ada lagi kami sbagai warga d sini sangat2 terganggu yg d adakan tiap minggu sore dan pada hal keluraha tomang sdh melarang.pak tlg beri teguran lg ke bpk lurah tomang supaya tegas dan agar pasar malam di tutup selamanya. Pak sy mohon agar sms sy sgera di tindak lanjutin makasih"
202,Urgent,Lingkungan,RT.002/ RW.006.  Kemanggisan palmerah jakarta barat. Sering banjir pak.  Ket.RTnya males ga pernah kontrol.  Yg diperhatiin cm area sekitarnya aja.  Area kami yg dbelakang ga pernah di tengokm smpai saat ini msh banjir.  RT cuek. Bahkan lampu jalan aja sampai saya sndiri yg pasang. Sy pasang 2 buah lampu karna nunggu RT lama responya. Mohon pak dicek.  Trims.  
203,Urgent,Keamanan dan Ketertiban,Selamat sore pak. Saya warga dari kelurahan jelambar .. Tepatnya di jalan jelambar selatan ... Ada pasar di jalan yg sangat mengganggu dan jg listrik boleh ngambil langsung dari tiang... `alias nyolog listrik.` tlog di tindak pak.
204,Urgent,Pekerjaan dan Ketenagakerjaan,"Kepada yg terhormat Bapak Gubenur DKI Bapak Jarot, Saya mantan ketua Rt,, Rw 002  Kel. Kota Bambu Utara, Kec. Palmerah jakarta Barat melaporkan bahwa beberapa kali ada PENYELEWENGAN DANA FISIK yg di lakukan oleh Ketua RW 002 Bapak SUTRISNO, maka dari itu kami mohon Bapak Gubenur DKI agar menindak lanjuti laporan kami.. Kami ucapkan terima kasih"
205,Urgent,Pekerjaan dan Ketenagakerjaan,"Kepada yg terhormat Bapak Gubenur DKI Bapak Jarot, Saya mantan ketua Rt,, Rw 002  Kel. Kota Bambu Utara, Kec. Palmerah jakarta Barat melaporkan bahwa beberapa kali ada PENYELEWENGAN DANA FISIK yg di lakukan oleh Ketua RW 002 Bapak SUTRISNO, maka dari itu kami mohon Bapak Gubenur DKI agar menindak lanjuti laporan kami.. Kami ucapkan terima kasih"
206,Urgent,Lingkungan,"Pengaduan Terkait Keberadaan Pkl, Anak Kecil Yang Bermain Bola Di Jalan Kampung Dan Keberadaan Grobak Sampah Di Pinggir Jalan"
207,Urgent,Lingkungan,"Polusi Suara Warung Kopi Podo Tresno,Dan Warkop Keysa"
208,Not Urgent,Pemukiman dan Perumahan,Penyerobotan Tanah orang lain untuk tanah pribadi
209,Urgent,Keamanan dan Ketertiban,Tiang Bambu Bendera Partai Yang Membahayakan Pengendara Di Sisi FlyOver
210,Not Urgent,Sosial dan Kesejahteraan,Pkl Yang Berjualan Di Depan Pintu Masuk Grya Santa Blok N
211,Urgent,Lingkungan,Polusi Suara Warung Sekitar Tawira
212,Not Urgent,Keamanan dan Ketertiban,Papan Reklame Bando Yang Sudah Tidak Layak/Rapuh
213,Not Urgent,Sosial dan Kesejahteraan,"Permohonan Penertiban Pkl Di Sepanjang Jl.Bandung Depan (Sekolah Min 1,Mtsn 1, Man2)"
214,Urgent,Lingkungan,Polusi Suara karena suara cafe yang sangat berisik mengganggu warga sekitar
215,Urgent,Lingkungan,Polusi Suara Musik Café Iu
216,Not Urgent,Sosial dan Kesejahteraan,Bendera Parpol Yang Mengganggu
217,Not Urgent,Sosial dan Kesejahteraan,Keberadaan Pkl Di Sepanjang Pintu Masuk/ Pagar Rssa Saiful Anwar
218,Not Urgent,Sosial dan Kesejahteraan,Odgj Yang Meresahkan
219,Not Urgent,Pemukiman dan Perumahan,Talang Air Bocor Mengalir Ke Rumah Tetangga
220,Not Urgent,Keamanan dan Ketertiban,Reklame Tetap Yang Di Duga Tidak Berizin
221,Urgent,Keamanan dan Ketertiban,Rekalame Yang Membahayakan Pengguna Jalan
222,Not Urgent,Sosial dan Kesejahteraan,Penggunaan Fasilitas Umum /Psu Untuk Kepentingan Pribadi (Rumah Tinggal Dan Bengkel)
223,Urgent,Lingkungan,Pembangunan Pos Di Atas Saluran Air
224,Not Urgent,Sosial dan Kesejahteraan,Reklame Yang Diduga Provokatif (Anis )
225,Not Urgent,Pemukiman dan Perumahan,Permohonan Penertiban Bangunan Yang Menempati Lahan Orang Lain (Hajj Chicken)
226,Not Urgent,Keamanan dan Ketertiban,Pohon Dan Pot Bunga Di Atas Fasilitas Umum
227,Urgent,Keamanan dan Ketertiban,Permohonan Penertiban Pkl Di Fasilitas Umum
228,Not Urgent,Sosial dan Kesejahteraan,Pemberitahuan Aset Pemkot Yang Dipergunakan Masyarakat Untuk Warung/Bedak
229,Urgent,Keamanan dan Ketertiban,Permohonan Penertiban Reklame Tetap Yang Mengganggu Akses Jalan
230,Not Urgent,Sosial dan Kesejahteraan,Pemondokan Bebas
231,Urgent,Keamanan dan Ketertiban,Reklame Rusak Yang Membahayakan Pengguna Jalan
232,Not Urgent,Sosial dan Kesejahteraan,Keberadaan Pkl Di Jalur Hijau
233,Urgent,Lingkungan,Polusi Suara Kegaduhan Supermarket Alfa X
234,Not Urgent,Pemukiman dan Perumahan,Gangguan Trantibum Di Perumahan Akhtara Residence
235,Not Urgent,Lingkungan,Polusi Suara Di Kabukicho
236,Not Urgent,Pemukiman dan Perumahan,Keberadaan Rumah Pohon Di Fasum
237,Urgent,Infrastruktur,Kabel Yang Menjuntai Di Tengah Jalan
238,Not Urgent,Sosial dan Kesejahteraan,Warung Nasi Goreng Yang Dicampur Dengan Daging Babi
239,Not Urgent,Keamanan dan Ketertiban,Warung Yang Berdiri Di Rth Dan Parkir Liar
240,Not Urgent,Keamanan dan Ketertiban,Spanduk Penolakan Satu Arah Kayutangan
241,Not Urgent,Sosial dan Kesejahteraan,Odgj Yang Meresahkan Warga
242,Not Urgent,Keamanan dan Ketertiban,Gangguan Trantibum Dari Café Janimani
243,Not Urgent,Pemukiman dan Perumahan,Bangunan Liar Di Fasilitas Umum
244,Not Urgent,Sosial dan Kesejahteraan,Odgj Yang Meresahkan Warga
245,Not Urgent,Sosial dan Kesejahteraan,Penutupan Jalan (Kegiatan Pengajian)
246,Not Urgent,Keamanan dan Ketertiban,Permohonan Penertiban Pkl Di Lahan Pemkot(Di Sewa Perorangan)
247,Not Urgent,Sosial dan Kesejahteraan,Gangguan Trantibum Dari Pengamen Angklung
248,Urgent,Sosial dan Kesejahteraan,Tunawisma Sakit Yang Terlantar
249,Not Urgent,Sosial dan Kesejahteraan,Ganguan Trantibum Dari Pengunjung Rental Ps Quantum Yang Teriak Dan Berkata Kotor
250,Urgent,Keamanan dan Ketertiban,Barang Barang Bengkel Sodo Sakti Yang Memakan Jalan Dan Membahayakan Pengguna Jalan
251,Urgent,Keamanan dan Ketertiban,Permohonan Penertiban Pkl Di Atas Fasilitas Umum
252,Not Urgent,Sosial dan Kesejahteraan,Odgj Yang Meresahkan Warga
253,Not Urgent,Sosial dan Kesejahteraan,Permohonan Penertiban Pkl
254,Urgent,Lingkungan,Gangguan Polusi Suara Dari Sound Sistem Warung Saya Sayang
255,Not Urgent,Pemukiman dan Perumahan,Permohonan Penertiban Bangunan Semi Permanen Pkl Di Atas Fasum
256,Not Urgent,Sosial dan Kesejahteraan,Rental Ps Treebox Yang Menyediakan Vip Room
257,Urgent,Lingkungan,Polusi Udara Akibat Dari Pembakaran Sampah
258,Not Urgent,Keamanan dan Ketertiban,Pkl Yang Mengganggu Akses Mobilitas Ke Dalam Rumah/Usaha
259,Urgent,Keamanan dan Ketertiban,Permohonan Penertiban Pkl Semi Permanen Di Fasiltas Umum (Trotoar)
260,Urgent,Keamanan dan Ketertiban,Papan Reklame/Baliho Yang Menghalangi Pandangan Pengendara Di Tikungan
261,Not Urgent,Sosial dan Kesejahteraan,"Keberadaan Jemuran,Kandang Ayam,Tumpukan Barang Bekas Di Sekitar Makam"
262,Urgent,Keamanan dan Ketertiban,Reklame Tetap Yang Menutupi Rambu Lalu Lintas
263,Not Urgent,Keamanan dan Ketertiban,Reklame Baliho Apk Yang Tidak Berizin
264,Not Urgent,Sosial dan Kesejahteraan,Keberadaan Badut Yang Meminta-Minta Dengan Membawa Anak Kecil
265,Urgent,Lingkungan,Polusi Suara Dan Polusi Udara Dari Usaha Industri Kayu
266,Urgent,Lingkungan,Keberadaan Rombong Es Degan Yang Mengganggu Lingkungan
267,Not Urgent,Keamanan dan Ketertiban,Pkl Di Atas Fasilitas Umum(Saluran Air)
268,Not Urgent,Keamanan dan Ketertiban,Reklame Tema Politik Yang Mengganggu Pengendara
269,Urgent,Keamanan dan Ketertiban,Pkl Di Atas Fasilitas Umum (Badan Jalan)
270,Urgent,Lingkungan,Polusi Suara Dari Aktivitas Warung Wow
271,Not Urgent,Sosial dan Kesejahteraan,Dugaan Pencurian Listrik Oleh Usaha Fotocopy Di Parkiran Satpas Sim
272,Urgent,Keamanan dan Ketertiban,Barang Dagangan Toko Masker Dan Jus Yang Diletakkan Di Atas Trotoar Dan Bahu Jalan
273,Urgent,Lingkungan,Gangguan Trantibum Dari Café Kidang Djaya
274,Not Urgent,Sosial dan Kesejahteraan,Pkl Bunga Yang Mengganggu Akses Keluar Masuk Pemilik Ruko
275,Urgent,Infrastruktur,Penutupan Jalan Menuju Aset Pemerintah Kota Malang
276,Urgent,Lingkungan,Gangguan Trantibum (Polusi Udara Dan Suara) Dari Aktivitas Mebel
277,Urgent,Lingkungan,Gangguan Trantibum (Polusi Suara ) Dari Aktvitas Live Musik Café Alfa X
